[WARN  2023-09-22T21:15:24,436 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-5) No content type specified in response from /sync?dsp_id=305&user_id=089e95913486e22e&expires=90&gdpr=&gdpr_consent=. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:24,575 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-5) No content type specified in response from /ul_cb/sync?dsp_id=305&user_id=089e95913486e22e&expires=90&gdpr=&gdpr_consent=. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:24,680 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-0) No content type specified in response from /collect. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:24,773 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-4) No content type specified in response from /js/ax.php. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:24,820 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-3) Cannot decode unsupported content encoding type br 
[WARN  2023-09-22T21:15:24,823 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-3) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2023-09-22T21:15:24,825 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ClientToProxyWorker-1) No content type specified in request to /collect. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:24,909 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-3) No content type specified in response from /ad/dst?a=6509&b=2&c=KrSNYeb2A9F0KKfLPWvF7qGT9cu2P8sT&e=71382&f=&g=&h=&i=&z=0&y=1&d=https%3A%2F%2Fauth.global-exam.com%2Flogin. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:24,952 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-7) Cannot decode unsupported content encoding type br 
[WARN  2023-09-22T21:15:24,953 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-7) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
